,close,contract,high,low,open,source,time,timestamp,volume
854,8300.91,okef/btc.usd.n,8302.09,8291.39,8291.39,,2019-06-14T18:30:00+08:00,1560508200,9363
855,8294.0,okef/btc.usd.n,8329.0,8290.0,8300.91,,2019-06-14T18:45:00+08:00,1560509100,21517
856,8266.49,okef/btc.usd.n,8294.0,8263.22,8294.0,,2019-06-14T19:00:00+08:00,1560510000,25490
857,8286.96,okef/btc.usd.n,8290.0,8265.27,8266.99,,2019-06-14T19:15:00+08:00,1560510900,14509
858,8276.02,okef/btc.usd.n,8305.18,8276.01,8287.88,,2019-06-14T19:30:00+08:00,1560511800,18445
859,8266.95,okef/btc.usd.n,8283.12,8260.0,8276.01,,2019-06-14T19:45:00+08:00,1560512700,18301
860,8283.36,okef/btc.usd.n,8296.8,8265.93,8266.96,,2019-06-14T20:00:00+08:00,1560513600,60094
861,8280.0,okef/btc.usd.n,8289.49,8253.53,8282.17,,2019-06-14T20:15:00+08:00,1560514500,37781
862,8337.84,okef/btc.usd.n,8374.0,8278.92,8278.92,,2019-06-14T20:30:00+08:00,1560515400,101346
863,8362.7,okef/btc.usd.n,8365.43,8331.19,8337.2,,2019-06-14T20:45:00+08:00,1560516300,30232
864,8360.0,okef/btc.usd.n,8386.98,8341.93,8360.3,,2019-06-14T21:00:00+08:00,1560517200,29924
865,8375.47,okef/btc.usd.n,8427.96,8358.37,8360.84,,2019-06-14T21:15:00+08:00,1560518100,96880
866,8423.19,okef/btc.usd.n,8425.46,8376.0,8378.13,,2019-06-14T21:30:00+08:00,1560519000,44941
867,8415.0,okef/btc.usd.n,8455.2,8401.0,8423.18,,2019-06-14T21:45:00+08:00,1560519900,118406
868,8388.0,okef/btc.usd.n,8443.6,8388.0,8413.89,,2019-06-14T22:00:00+08:00,1560520800,91869
869,8388.78,okef/btc.usd.n,8406.32,8373.41,8388.88,,2019-06-14T22:15:00+08:00,1560521700,41210
870,8414.38,okef/btc.usd.n,8419.8,8388.17,8388.23,,2019-06-14T22:30:00+08:00,1560522600,27151
871,8391.2,okef/btc.usd.n,8420.0,8385.36,8414.36,,2019-06-14T22:45:00+08:00,1560523500,12651
872,8401.09,okef/btc.usd.n,8407.82,8372.95,8391.2,,2019-06-14T23:00:00+08:00,1560524400,21018
873,8435.5,okef/btc.usd.n,8440.24,8397.45,8401.2,,2019-06-14T23:15:00+08:00,1560525300,18413
874,8434.97,okef/btc.usd.n,8466.0,8428.16,8435.03,,2019-06-14T23:30:00+08:00,1560526200,36756
875,8401.11,okef/btc.usd.n,8434.58,8401.11,8434.58,,2019-06-14T23:45:00+08:00,1560527100,25140
876,8419.5,okef/btc.usd.n,8422.17,8388.0,8401.11,,2019-06-15T00:00:00+08:00,1560528000,19349
877,8405.46,okef/btc.usd.n,8430.01,8398.25,8419.51,,2019-06-15T00:15:00+08:00,1560528900,13210
878,8383.08,okef/btc.usd.n,8411.2,8357.5,8405.47,,2019-06-15T00:30:00+08:00,1560529800,33580
879,8359.0,okef/btc.usd.n,8393.45,8350.98,8383.23,,2019-06-15T00:45:00+08:00,1560530700,20639
880,8365.02,okef/btc.usd.n,8375.02,8333.17,8359.0,,2019-06-15T01:00:00+08:00,1560531600,22659
881,8385.53,okef/btc.usd.n,8387.79,8365.02,8365.02,,2019-06-15T01:15:00+08:00,1560532500,5562
882,8388.0,okef/btc.usd.n,8388.0,8365.96,8385.53,,2019-06-15T01:30:00+08:00,1560533400,4963
883,8386.73,okef/btc.usd.n,8387.25,8371.39,8385.36,,2019-06-15T01:45:00+08:00,1560534300,6347
884,8404.57,okef/btc.usd.n,8420.05,8387.0,8387.0,,2019-06-15T02:00:00+08:00,1560535200,9542
885,8385.29,okef/btc.usd.n,8408.44,8379.99,8406.19,,2019-06-15T02:15:00+08:00,1560536100,14051
886,8399.06,okef/btc.usd.n,8399.06,8381.17,8387.54,,2019-06-15T02:30:00+08:00,1560537000,7218
887,8397.46,okef/btc.usd.n,8410.19,8393.88,8399.02,,2019-06-15T02:45:00+08:00,1560537900,5227
888,8404.36,okef/btc.usd.n,8410.55,8392.78,8396.16,,2019-06-15T03:00:00+08:00,1560538800,4202
889,8429.99,okef/btc.usd.n,8446.0,8403.18,8403.99,,2019-06-15T03:15:00+08:00,1560539700,13877
890,8379.0,okef/btc.usd.n,8434.02,8375.0,8430.89,,2019-06-15T03:30:00+08:00,1560540600,10266
891,8392.74,okef/btc.usd.n,8411.5,8376.95,8379.0,,2019-06-15T03:45:00+08:00,1560541500,6256
892,8407.25,okef/btc.usd.n,8422.4,8395.78,8396.49,,2019-06-15T04:00:00+08:00,1560542400,12365
893,8435.38,okef/btc.usd.n,8440.01,8406.4,8410.92,,2019-06-15T04:15:00+08:00,1560543300,8735
894,8447.65,okef/btc.usd.n,8454.3,8418.88,8435.63,,2019-06-15T04:30:00+08:00,1560544200,9339
895,8441.62,okef/btc.usd.n,8449.22,8421.51,8447.65,,2019-06-15T04:45:00+08:00,1560545100,6998
